STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
722146,12816, 19440201,   56.5,24,   37.5,24, 1022.8,24, 9999.9, 0,   2.8,24,   7.0,24,  13.0, 999.9,   68.4*,  41.4*, 0.00I,999.9, 000000,
722146,12816, 19440202,   50.1,24,   36.1,24, 1024.3,24, 9999.9, 0,  15.0,24,   4.3,24,   9.9, 999.9,   73.4*,  33.4*, 0.00I,999.9, 100000,
722146,12816, 19440203,   53.3,24,   44.2,24, 1019.2,24, 9999.9, 0,   3.4,24,   7.6,24,  19.0, 999.9,   72.3*,  36.3*, 0.00I,999.9, 000000,
722146,12816, 19440204,   59.5,24,   49.6,24, 1019.9,24, 9999.9, 0,   4.2,24,   8.4,24,  13.0, 999.9,   67.3*,  49.3*,99.99 ,999.9, 010000,
722146,12816, 19440205,   50.9,24,   41.5,24, 1027.3,24, 9999.9, 0,   2.4,24,   3.5,24,   8.0, 999.9,   71.2*,  34.3*, 0.00I,999.9, 000000,
722146,12816, 19440206,   58.4,24,   51.2,24, 1022.9,24, 9999.9, 0,   3.6,24,   9.2,24,  20.0, 999.9,   72.3*,  48.4*, 0.00I,999.9, 000000,
722146,12816, 19440207,   55.7,24,   42.6,24, 1020.3,24, 9999.9, 0,   8.4,24,   6.4,24,  11.1, 999.9,   71.2*,  33.4*, 0.00I,999.9, 000000,
722146,12816, 19440208,   61.1,24,   48.5,24, 1018.0,24, 9999.9, 0,  35.6,24,   7.6,24,  14.0, 999.9,   77.4*,  46.4*, 0.00I,999.9, 000000,
722146,12816, 19440209,   63.2,24,   57.7,24, 1013.2,24, 9999.9, 0,  56.5,24,  12.5,24,  29.9, 999.9,   74.3*,  54.3*, 0.00I,999.9, 000000,
722146,12816, 19440210,   61.3,24,   56.0,24, 1017.8,24, 9999.9, 0,  43.8,24,   5.1,24,  12.0, 999.9,   74.3*,  51.3*,99.99 ,999.9, 010000,
